ind,rain_fall
"1278",20.066
"1279",1.016
"1280",6.096
"1281",9.144
"1282",3.048
"1283",3.048
"1284",2.032
"1285",4.064
"1286",38.1
"1287",1.016
"1288",3.048
"1289",7.112
"1290",28.448
"1291",1.016
"1292",4.064
"1293",59.944
"1294",8.128
"1295",50.8
"1296",2.032
"1297",19.304
"1298",11.176
"1299",1.016
"1300",16.256
"1301",33.528
"1302",2.032
"1303",1.016
"1304",4.064
"1305",1.016
"1306",4.064
"1307",1.016
"1308",8.128
"1309",2.032
"1310",4.064
"1311",2.032
"1312",1.016
"1313",1.016
"1314",7.112
"1315",1.016
"1316",2.032
"1317",1.016
"1318",3.048
"1319",5.08
"1320",9.144
"1321",8.128
"1322",3.048
"1323",2.032
"1324",2.032
"1325",16.256
"1326",5.08
"1327",1.016
"1328",3.048
"1329",6.096
"1330",1.016
"1331",19.304
"1332",3.048
"1333",12.192
"1334",3.048
"1335",6.096
"1336",1.016
"1337",9.144
"1338",25.4
"1339",4.064
"1340",2.032
"1341",11.176
"1342",3.048
"1343",1.016
"1344",1.016
"1345",24.384
"1346",29.464
"1347",23.368
"1348",2.032
"1349",1.016
"1350",2.032
"1351",9.144
"1352",9.144
"1353",2.032
"1354",12.192
"1355",5.08
"1356",4.064
"1357",2.032
"1358",0.508
"1359",23.114
"1360",3.81
"1361",11.176
"1362",7.112
"1363",1.016
"1364",13.208
"1365",18.288
"1366",2.032
"1367",2.032
"1368",1.016
"1369",15.24
"1370",10.16
"1371",6.096
"1372",2.032
"1373",1.016
"1374",18.796
"1375",12.7
"1376",3.302
"1377",0.254
"1378",1.778
"1379",4.572
"1380",0.254
"1381",6.096
"1382",1.778
"1383",0.254
"1384",29.972
"1385",17.78
"1386",0.254
"1387",4.572
"1388",3.048
"1389",0.254
"1390",1.778
"1391",0.254
"1392",9.906
"1393",0.508
"1394",48.006
"1395",12.446
"1396",0.254
"1397",28.956
"1398",8.636
"1399",48.006
"1400",1.524
"1401",43.942
"1402",3.81
"1403",0.254
"1404",33.528
"1405",0.508
"1406",6.096
"1407",11.684
"1408",0.254
"1409",4.572
"1410",23.876
"1411",17.78
"1412",0.254
"1413",6.096
"1414",0.254
"1415",0.762
"1416",0.762
"1417",0.254
"1418",16.256
"1419",12.7
"1420",8.382
"1421",17.272
"1422",11.938
"1423",0.254
"1424",14.478
"1425",9.398
"1426",0.254
"1427",0.254
"1428",0.762
"1429",0.254
"1430",0.254
"1431",14.478
"1432",3.302
"1433",0.762
"1434",8.128
"1435",0.254
"1436",3.048
"1437",3.048
"1438",4.572
"1439",14.478
"1440",6.35
"1441",0.254
"1442",1.778
"1443",4.064
"1444",4.064
"1445",1.016
"1446",4.064
"1447",1.016
"1448",19.304
"1449",1.016
"1450",22.352
"1451",2.032
"1452",4.064
"1453",1.016
"1454",3.048
"1455",7.112
"1456",6.096
"1457",4.064
"1458",8.128
"1459",2.032
"1460",23.368
"1461",11.176
"1462",1.016
"1463",2.032
"1464",14.224
"1465",2.032
"1466",2.032
"1467",1.016
"1468",1.016
"1469",3.048
"1470",6.096
"1471",5.08
"1472",1.016
"1473",10.16
"1474",16.256
"1475",2.032
"1476",5.08
"1477",2.032
"1478",2.032
"1479",4.064
"1480",4.064
"1481",9.144
"1482",1.016
"1483",5.08
"1484",2.032
"1485",1.016
"1486",2.032
"1487",13.208
"1488",0.254
"1489",0.762
"1490",0.508
"1491",0.762
"1492",0.508
"1493",0.762
"1494",13.716
"1495",10.16
"1496",2.794
"1497",0.762
"1498",8.636
"1499",0.762
"1500",12.954
"1501",35.56
"1502",0.508
"1503",4.572
"1504",0.254
"1505",7.112
"1506",1.016
"1507",4.572
"1508",16.256
"1509",1.27
"1510",1.778
"1511",1.524
"1512",11.176
"1513",8.128
"1514",1.016
"1515",2.032
"1516",1.016
"1517",1.016
"1518",5.08
"1519",1.016
"1520",1.016
"1521",5.08
"1522",2.032
"1523",16.002
"1524",3.048
"1525",6.096
"1526",3.048
"1527",1.016
"1528",1.016
"1529",3.048
"1530",1.016
"1531",2.032
"1532",37.338
"1533",16.256
"1534",1.016
"1535",3.048
"1536",1.016
"1537",14.224
"1538",15.748
"1539",0.254
"1540",1.778
"1541",22.098
"1542",9.652
"1543",0.254
"1544",14.986
"1545",0.254
"1546",12.446
"1547",0.254
"1548",35.814
"1549",0.508
"1550",1.778
"1551",0.762
"1552",0.254
"1553",15.24
"1554",0.254
"1555",1.778
"1556",0.508
"1557",1.016
"1558",9.144
"1559",2.032
"1560",1.27
"1561",7.366
"1562",16.002
"1563",0.254
"1564",3.048
"1565",3.556
"1566",2.032
"1567",4.064
"1568",1.016
"1569",4.826
"1570",4.826
"1571",0.254
"1572",6.096
"1573",2.032
"1574",3.048
"1575",9.144
"1576",3.048
"1577",1.016
"1578",9.144
"1579",5.08
"1580",2.032
"1581",1.016
"1582",5.08
"1583",5.08
"1584",1.016
"1585",0.762
"1586",0.762
"1587",0.762
"1588",9.398
"1589",9.652
"1590",4.826
"1591",0.254
"1592",0.254
"1593",27.432
"1594",0.762
"1595",0.254
"1596",18.796
"1597",0.254
"1598",0.254
"1599",3.048
"1600",0.254
"1601",14.478
"1602",36.068
"1603",5.08
"1604",9.398
"1605",0.254
"1606",12.446
"1607",4.826
"1608",14.478
"1609",1.016
"1610",4.572
"1611",25.4
"1612",22.606
"1613",0.508
"1614",3.048
"1615",29.972
"1616",3.556
"1617",0.762
"1618",22.098
"1619",0.508
"1620",0.254
"1621",0.254
"1622",1.016
"1623",1.016
"1624",1.016
"1625",3.048
"1626",2.032
"1627",15.24
"1628",1.016
"1629",2.032
"1630",3.048
"1631",1.016
"1632",5.08
"1633",2.032
"1634",17.272
"1635",1.016
"1636",4.064
"1637",3.048
"1638",1.016
"1639",2.032
"1640",9.144
"1641",12.192
"1642",9.144
"1643",2.032
"1644",39.624
"1645",12.192
"1646",1.016
"1647",18.288
"1648",1.016
"1649",1.016
"1650",8.128
"1651",8.128
"1652",1.016
"1653",5.08
"1654",7.112
"1655",14.224
"1656",18.288
"1657",32.512
"1658",2.032
"1659",58.928
"1660",1.016
"1661",1.016
"1662",4.064
"1663",1.016
"1664",1.016
"1665",9.144
"1666",1.016
"1667",6.096
"1668",3.048
"1669",9.144
"1670",1.016
"1671",1.016
"1672",33.528
"1673",38.608
"1674",1.016
"1675",10.16
"1676",23.368
"1677",13.208
"1678",1.016
"1679",20.32
"1680",7.112
"1681",40.386
"1682",3.048
"1683",36.576
"1684",3.048
"1685",10.16
"1686",1.016
"1687",2.032
"1688",29.464
"1689",29.464
"1690",1.016
"1691",15.24
"1692",8.128
"1693",1.016
"1694",44.704
"1695",26.416
"1696",11.176
"1697",16.256
"1698",16.256
"1699",1.016
"1700",1.016
"1701",2.032
"1702",12.192
"1703",2.032
"1704",1.016
"1705",16.256
"1706",2.032
"1707",4.064
"1708",1.016
"1709",1.016
"1710",1.016
"1711",2.032
"1712",3.048
"1713",6.096
"1714",5.08
"1715",7.112
"1716",1.016
"1717",1.016
"1718",6.096
"1719",2.032
"1720",15.24
"1721",1.016
"1722",2.032
"1723",5.08
"1724",11.176
"1725",2.032
"1726",11.176
"1727",18.288
"1728",1.016
"1729",2.032
"1730",1.016
"1731",6.096
"1732",15.24
"1733",2.032
"1734",2.032
"1735",4.064
"1736",6.096
"1737",2.032
"1738",13.208
"1739",6.096
"1740",15.24
"1741",11.176
"1742",10.16
"1743",2.032
"1744",4.064
"1745",12.192
"1746",1.016
"1747",5.08
"1748",2.032
"1749",3.048
"1750",1.016
"1751",1.016
"1752",4.064
"1753",2.032
"1754",4.064
"1755",5.08
"1756",2.032
"1757",1.016
"1758",1.016
"1759",5.08
"1760",1.016
"1761",1.016
"1762",5.08
"1763",5.08
"1764",1.016
"1765",2.032
"1766",2.032
"1767",29.464
"1768",2.032
"1769",2.032
"1770",5.08
"1771",11.938
"1772",10.16
"1773",2.032
"1774",1.016
"1775",10.16
"1776",2.032
"1777",3.048
"1778",1.016
"1779",1.016
"1780",4.064
"1781",2.032
"1782",68.072
"1783",1.016
"1784",13.208
"1785",11.176
"1786",2.032
"1787",5.08
"1788",2.032
"1789",2.032
"1790",31.496
"1791",12.192
"1792",12.192
"1793",16.256
"1794",2.032
"1795",7.112
"1796",16.51
"1797",2.032
"1798",19.304
"1799",16.256
"1800",4.064
"1801",14.224
"1802",7.112
"1803",3.048
"1804",2.032
"1805",1.016
"1806",4.064
